國文,英文,數學,社會,自然
15,13,13,15,8
7,14,15,8,15
13,12,13,8,11
9,6,13,14,14
8,8,6,7,7
8,7,8,9,9
15,12,9,8,13
13,11,10,10,15
10,6,11,15,11
6,11,9,15,14
11,8,14,14,6
7,11,14,13,6
14,6,10,12,13
15,12,15,14,11
6,15,9,13,14
15,11,7,13,13
6,10,12,6,6
10,9,15,15,11
14,6,7,6,9
6,14,13,13,6
13,10,13,10,7
11,6,6,9,7
12,11,12,8,9
9,6,9,14,6
6,10,8,10,12
13,13,13,13,6
8,7,15,9,14
13,10,7,6,11
6,9,7,12,15
6,12,8,13,14
8,10,6,11,11
10,13,6,10,14
15,8,6,11,7
11,6,13,15,14
13,6,6,14,9
12,6,7,9,11
6,11,13,14,8
10,6,8,11,8
6,7,13,9,6
13,10,10,9,8
15,10,7,13,12
9,7,6,6,11
13,8,6,12,6
12,9,11,9,12
6,15,13,13,9
14,8,8,14,14
12,7,7,12,8
15,14,15,7,9
13,15,13,12,11
13,10,15,9,11
9,11,10,10,7
6,14,11,10,10
12,15,14,8,13
6,13,13,13,14
8,14,11,13,12
6,13,6,12,14
8,14,6,9,15
11,10,13,12,6
13,7,6,8,6
13,11,8,14,15
10,11,9,11,9
10,6,9,8,14
13,7,13,12,10
12,15,7,12,11
8,15,7,7,10
7,14,11,12,13
10,14,9,14,8
8,12,12,9,12
6,7,15,13,14
15,7,15,11,10
12,8,11,15,7
13,7,7,12,12
15,15,13,15,14
10,7,11,10,7
12,6,12,15,15
8,14,9,8,9
12,11,6,15,11
13,6,8,11,13
14,7,14,6,8
12,15,11,10,12
6,10,11,8,6
12,15,14,11,12
11,15,12,13,6
13,11,15,14,11
14,13,10,6,12
7,15,9,7,12
14,12,11,9,6
11,6,11,14,11
10,11,12,11,13
12,15,7,15,11
9,12,10,13,15
11,12,6,6,14
12,12,6,10,11
8,6,10,11,10
8,7,14,6,12
11,10,13,6,12
6,14,14,7,8
12,15,6,9,10
13,13,11,7,12
12,12,6,9,10
